iter	Passed	Remaining
0	0	64
1	1	55
2	1	47
3	1	42
4	2	38
5	2	39
6	2	37
7	3	35
8	3	34
9	3	34
10	5	40
11	5	40
12	5	39
13	6	37
14	6	36
15	6	35
16	6	34
17	7	33
18	7	32
19	7	31
20	8	30
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	10	28
27	11	28
28	11	27
29	11	27
30	12	26
31	12	26
32	12	25
33	12	24
34	13	24
35	13	23
36	13	23
37	14	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	17	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	22	14
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	24	11
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	7
78	28	7
79	29	7
80	29	6
81	29	6
82	30	6
83	30	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
