iter	MultiClass
0	1.453659743
1	1.348589443
2	1.272049729
3	1.209304077
4	1.154892739
5	1.108887885
6	1.070324285
7	1.033382568
8	1.003957672
9	0.9780999923
10	0.9552087266
11	0.9381877164
12	0.9189949562
13	0.9004054644
14	0.8880311827
15	0.8745094702
16	0.8635545113
17	0.8535194042
18	0.8435519087
19	0.8345159638
20	0.8259528694
21	0.81911787
22	0.8107351471
23	0.8047538284
24	0.798186812
25	0.7944769764
26	0.7888221697
27	0.7869241019
28	0.784051592
29	0.7803967125
30	0.775993227
31	0.7720376844
32	0.7673303866
33	0.7650251378
34	0.7628993069
35	0.759072133
36	0.7573632198
37	0.7556023917
38	0.7530981102
39	0.7520297505
40	0.7505253984
41	0.7485937869
42	0.7472160659
43	0.7455978632
44	0.7443432414
45	0.7426490505
46	0.7417830753
47	0.7405911053
48	0.7395233863
49	0.7374415142
50	0.7366398259
51	0.7351152718
52	0.7342302301
53	0.7316439059
54	0.7306301591
55	0.7300218799
56	0.7284170619
57	0.7272743013
58	0.7262879554
59	0.7254484993
60	0.7242154659
61	0.7234881753
62	0.7216310794
63	0.7207662741
64	0.7194444241
65	0.7181621885
66	0.7169468066
67	0.7158712755
68	0.7150453228
69	0.7145460546
70	0.7138848636
71	0.7130113481
72	0.7121544038
73	0.7117402924
74	0.7106766908
75	0.7098259043
76	0.7091691377
77	0.7076137119
78	0.7070145936
79	0.7060580622
80	0.7054143782
81	0.705250365
82	0.7040390705
83	0.7035502251
84	0.7019353556
85	0.7008192242
86	0.6997338352
87	0.6993503189
88	0.6983353074
89	0.69619834
90	0.6955361579
91	0.694087128
92	0.6934620655
93	0.6931164482
94	0.6924118261
95	0.6914793148
96	0.6909916052
97	0.6905933447
98	0.69008246
99	0.6894848393
100	0.6890870935
101	0.6880990971
102	0.6873216353
103	0.6863905087
104	0.6860263754
105	0.6858496506
106	0.6851550841
107	0.6844146835
108	0.683705645
109	0.683071391
110	0.6826851834
111	0.6813327466
112	0.6808212404
113	0.6797112509
114	0.6791057765
115	0.6781461592
116	0.6774312437
117	0.6770005413
118	0.6763451272
119	0.6757857091
120	0.6744800267
121	0.6736370285
122	0.6732024541
123	0.672533674
124	0.6718256315
125	0.6715443084
126	0.6709686886
127	0.6705930161
128	0.6700797177
129	0.6695092937
130	0.6690956917
131	0.6686966804
132	0.6681918321
133	0.6673250037
134	0.6670313945
135	0.6664369461
136	0.6657749217
137	0.6653459882
138	0.6647833616
139	0.6644341186
140	0.6633817062
141	0.6628929352
142	0.6625231751
143	0.6615710101
144	0.6608870659
145	0.6599492398
146	0.65955877
147	0.6591633244
148	0.6585707658
149	0.6582719988
150	0.6579445225
151	0.6572545478
152	0.657049859
153	0.6565150833
154	0.656119691
155	0.6557519872
156	0.6554401961
157	0.6545195653
158	0.6537765734
159	0.6533460986
160	0.6527793757
161	0.6523400517
162	0.6518191289
163	0.6503568083
164	0.6494340249
165	0.6490522781
166	0.6484262263
167	0.647873701
168	0.6471504935
169	0.6467012587
170	0.6453918588
171	0.6445264965
172	0.6440183417
173	0.6433992527
174	0.6430718003
175	0.6422105166
176	0.6414359036
177	0.6410355786
178	0.6404193579
179	0.6398473831
180	0.6392110325
181	0.6387459006
182	0.6383354406
183	0.6381242393
184	0.6377781531
185	0.637271914
186	0.6370087613
187	0.6364730702
188	0.6361376322
189	0.635746494
190	0.6354626064
191	0.6349741566
192	0.6346631581
193	0.6341223729
194	0.6334391115
195	0.6332994223
196	0.6329088008
197	0.6317864996
198	0.6307829868
199	0.6304242028
200	0.6300174007
201	0.6296137631
202	0.6291661606
203	0.6282832452
204	0.627689277
205	0.6265585391
206	0.6261820733
207	0.6260210422
208	0.6256998467
209	0.6254346264
210	0.6247105981
211	0.6239125019
212	0.6235219335
213	0.6233767257
214	0.6231065784
215	0.6227476754
216	0.622158461
217	0.6219160597
218	0.621770221
219	0.6216300461
220	0.6212468156
221	0.6211132903
222	0.620793323
223	0.6201790808
224	0.6196388901
225	0.6193302452
226	0.6188579764
227	0.6185670864
228	0.6179679329
229	0.6177453562
230	0.6173121292
231	0.6163062193
232	0.6157490462
233	0.6155173816
234	0.6151526345
235	0.6149433058
236	0.614310112
237	0.6139853074
238	0.6137831565
239	0.6133435925
240	0.6126464919
241	0.612173306
242	0.6117120307
243	0.6113174568
244	0.6105046995
245	0.6102380911
246	0.609785401
247	0.6092393121
248	0.6090044357
249	0.6084330404
250	0.6078282186
251	0.607440941
252	0.6071728825
253	0.6068511866
254	0.6066816659
255	0.6064695991
256	0.6060556675
257	0.6054928918
258	0.605176723
259	0.6047745864
260	0.6039428406
261	0.6033338398
262	0.6030203137
263	0.6027711927
264	0.6021555259
265	0.6020224064
266	0.6016921609
267	0.60107594
268	0.6008333717
269	0.6004012736
270	0.5999889408
271	0.5997686228
272	0.5996149938
273	0.5988655559
274	0.5980931681
275	0.5980211637
276	0.5978139587
277	0.5975056452
278	0.5970218443
279	0.5965035531
280	0.5964249747
281	0.5959698809
282	0.5957619318
283	0.5953360158
284	0.5947825826
285	0.5945205822
286	0.593969901
287	0.593779522
288	0.5936346747
289	0.5934545671
290	0.5931855278
291	0.5928697793
292	0.5926131343
293	0.5918722433
294	0.5916358666
295	0.5913706743
296	0.5910137629
297	0.5905712364
298	0.5897751633
299	0.5896313385
