iter	Passed	Remaining
0	146	43948
1	155	23235
2	163	16229
3	171	12713
4	178	10514
5	184	9019
6	190	7970
7	195	7144
8	201	6528
9	207	6019
10	213	5609
11	219	5272
12	226	5001
13	233	4774
14	240	4562
15	246	4377
16	253	4217
17	261	4090
18	269	3983
19	278	3895
20	286	3802
21	294	3717
22	301	3633
23	309	3562
24	317	3495
25	324	3421
26	331	3356
27	339	3295
28	346	3236
29	353	3181
30	360	3127
31	368	3082
32	375	3040
33	382	2991
34	391	2962
35	399	2926
36	406	2892
37	414	2860
38	421	2819
39	428	2782
40	435	2749
41	442	2719
42	449	2686
43	457	2659
44	464	2630
45	471	2601
46	477	2569
47	483	2540
48	490	2514
49	496	2484
50	503	2459
51	510	2434
52	516	2407
53	523	2385
54	530	2361
55	536	2338
56	542	2314
57	548	2290
58	554	2266
59	560	2241
60	566	2219
61	572	2198
62	578	2177
63	585	2159
64	591	2138
65	597	2118
66	603	2098
67	618	2110
68	624	2090
69	630	2071
70	636	2051
71	641	2031
72	655	2039
73	662	2022
74	668	2005
75	674	1987
76	682	1975
77	688	1958
78	694	1941
79	700	1927
80	706	1911
81	713	1895
82	719	1881
83	725	1866
84	732	1852
85	738	1836
86	744	1823
87	750	1809
88	757	1795
89	763	1781
90	769	1766
91	775	1753
92	782	1742
93	788	1728
94	795	1715
95	801	1702
96	807	1689
97	813	1677
98	819	1663
99	825	1651
100	831	1637
101	837	1625
102	843	1614
103	850	1602
104	856	1590
105	862	1578
106	868	1566
107	874	1555
108	881	1545
109	888	1534
110	895	1525
111	902	1515
112	918	1520
113	925	1509
114	931	1499
115	938	1488
116	946	1480
117	953	1469
118	959	1459
119	965	1447
120	971	1437
121	977	1426
122	983	1415
123	989	1404
124	995	1393
125	1001	1382
126	1007	1372
127	1012	1361
128	1018	1349
129	1024	1340
130	1031	1330
131	1037	1320
132	1044	1311
133	1051	1302
134	1057	1292
135	1064	1283
136	1070	1274
137	1077	1264
138	1082	1254
139	1089	1245
140	1096	1236
141	1102	1226
142	1108	1217
143	1114	1207
144	1120	1197
145	1127	1188
146	1132	1179
147	1139	1170
148	1145	1160
149	1151	1151
150	1158	1143
151	1164	1133
152	1170	1124
153	1175	1114
154	1181	1104
155	1187	1096
156	1193	1086
157	1198	1077
158	1204	1068
159	1210	1059
160	1215	1049
161	1222	1041
162	1228	1032
163	1235	1024
164	1242	1016
165	1248	1008
166	1256	1001
167	1263	992
168	1270	984
169	1276	976
170	1283	968
171	1291	960
172	1297	952
173	1305	945
174	1312	937
175	1318	929
176	1325	920
177	1331	912
178	1337	904
179	1343	895
180	1349	887
181	1356	879
182	1361	870
183	1368	862
184	1374	854
185	1381	846
186	1388	838
187	1394	830
188	1401	822
189	1407	814
190	1413	806
191	1420	799
192	1427	791
193	1434	784
194	1442	776
195	1448	768
196	1455	760
197	1462	753
198	1471	746
199	1478	739
200	1486	732
201	1492	724
202	1499	716
203	1506	708
204	1513	701
205	1520	693
206	1526	685
207	1532	677
208	1539	670
209	1545	662
210	1553	655
211	1560	647
212	1566	639
213	1571	631
214	1578	624
215	1585	616
216	1592	608
217	1598	601
218	1603	593
219	1610	585
220	1616	577
221	1622	570
222	1629	562
223	1636	555
224	1642	547
225	1650	540
226	1657	532
227	1663	525
228	1670	517
229	1675	510
230	1683	502
231	1689	495
232	1696	487
233	1702	480
234	1710	473
235	1717	465
236	1724	458
237	1731	451
238	1738	443
239	1745	436
240	1752	429
241	1759	421
242	1766	414
243	1773	406
244	1779	399
245	1785	391
246	1791	384
247	1799	377
248	1805	369
249	1813	362
250	1819	355
251	1826	347
252	1831	340
253	1847	334
254	1852	326
255	1858	319
256	1865	312
257	1873	305
258	1880	297
259	1887	290
260	1894	283
261	1901	275
262	1909	268
263	1915	261
264	1925	254
265	1931	246
266	1938	239
267	1946	232
268	1953	225
269	1960	217
270	1966	210
271	1973	203
272	1979	195
273	1986	188
274	1993	181
275	1999	173
276	2013	167
277	2019	159
278	2027	152
279	2035	145
280	2043	138
281	2049	130
282	2056	123
283	2063	116
284	2071	109
285	2078	101
286	2086	94
287	2092	87
288	2099	79
289	2107	72
290	2115	65
291	2123	58
292	2130	50
293	2138	43
294	2146	36
295	2154	29
296	2160	21
297	2167	14
298	2174	7
299	2180	0
