iter	Recall	Logloss
0	0.8388969521	0.6800442363
1	0.763425254	0.6693451518
2	0.7445573295	0.6573235775
3	0.7532656023	0.6460034106
4	0.7605224964	0.6363616275
5	0.7692307692	0.6267340187
6	0.763425254	0.6176193938
7	0.7489114659	0.6093193325
8	0.7445573295	0.6016754571
9	0.7503628447	0.5951305576
10	0.7431059507	0.5881416389
11	0.7445573295	0.581036422
12	0.7416545718	0.5749086942
13	0.7489114659	0.5696352266
14	0.7416545718	0.563009338
15	0.7445573295	0.5583307896
16	0.7416545718	0.5534638731
17	0.7503628447	0.5493490935
18	0.7445573295	0.5453259678
19	0.7503628447	0.5409807009
20	0.7518142235	0.5364937143
21	0.7460087083	0.5323000252
22	0.7518142235	0.5285540362
23	0.7576197388	0.524922119
24	0.7561683599	0.5218840419
25	0.7561683599	0.5184923334
26	0.740203193	0.5153263522
27	0.740203193	0.5123127982
28	0.7431059507	0.5097724279
29	0.740203193	0.5073586509
30	0.7373004354	0.5052016201
31	0.7387518142	0.5030630961
32	0.7373004354	0.5007083745
33	0.740203193	0.498839707
34	0.740203193	0.4970546618
35	0.7431059507	0.4953111294
36	0.740203193	0.4937943288
37	0.7431059507	0.4917081894
38	0.7387518142	0.4899189167
39	0.7387518142	0.488520624
40	0.7314949202	0.4872328996
41	0.7314949202	0.4853887824
42	0.7373004354	0.4845716198
43	0.740203193	0.4832464934
44	0.7431059507	0.4811320631
45	0.7387518142	0.4800510518
46	0.740203193	0.4785476088
47	0.7373004354	0.4770431682
48	0.7314949202	0.4759401357
49	0.732946299	0.4748497711
50	0.7314949202	0.4736480105
51	0.7300435414	0.472601413
52	0.7314949202	0.4720769837
53	0.7358490566	0.4708506608
54	0.732946299	0.4698521342
55	0.7300435414	0.4689127717
56	0.7314949202	0.4680322023
57	0.7300435414	0.4672506016
58	0.7300435414	0.4663529601
59	0.7343976778	0.4657728747
60	0.732946299	0.4650363929
61	0.7343976778	0.4642047689
62	0.7300435414	0.4636522105
63	0.7300435414	0.4628530886
64	0.7314949202	0.4617661019
65	0.7314949202	0.4609532245
66	0.732946299	0.4601731543
67	0.7343976778	0.4592845414
68	0.732946299	0.4587077466
69	0.7343976778	0.4578867049
70	0.7358490566	0.4570610382
71	0.7373004354	0.4566620652
72	0.7387518142	0.4561884015
73	0.7373004354	0.4556568588
74	0.7358490566	0.4551407554
75	0.7373004354	0.4544823367
76	0.7387518142	0.4541349814
77	0.7387518142	0.4537256587
78	0.7373004354	0.4534247054
79	0.7387518142	0.4528848766
80	0.7387518142	0.4524494214
81	0.7387518142	0.4519108059
82	0.7358490566	0.4514243877
83	0.7373004354	0.451251769
84	0.7387518142	0.450890098
85	0.7387518142	0.4503910761
86	0.7416545718	0.4498781504
87	0.7416545718	0.4492115949
88	0.7416545718	0.4487600402
89	0.740203193	0.4483767509
90	0.740203193	0.4480133308
91	0.740203193	0.4474626675
92	0.740203193	0.4468620218
93	0.7416545718	0.4461810429
94	0.740203193	0.4457823954
95	0.7416545718	0.4454601941
96	0.7416545718	0.445188842
97	0.7416545718	0.4448931324
98	0.740203193	0.4444238695
99	0.7416545718	0.4440743601
100	0.7416545718	0.4438514395
101	0.7416545718	0.4433838258
102	0.7416545718	0.443032228
103	0.7416545718	0.4427828608
104	0.7431059507	0.4421175772
105	0.7445573295	0.4415769606
106	0.7431059507	0.4410291408
107	0.7431059507	0.4407434125
108	0.7431059507	0.4403659032
109	0.7431059507	0.4401398073
110	0.7416545718	0.4396794353
111	0.7416545718	0.4395025624
112	0.7445573295	0.4390068466
113	0.7445573295	0.4381840373
114	0.7460087083	0.4378031419
115	0.7474600871	0.4373429796
116	0.7474600871	0.4367205225
117	0.7474600871	0.43646472
118	0.7489114659	0.4361192204
119	0.7489114659	0.43592589
120	0.7489114659	0.4354946432
121	0.7489114659	0.4352451147
122	0.7489114659	0.4349779916
123	0.7489114659	0.4348626679
124	0.7489114659	0.4348338778
125	0.7489114659	0.4343825824
126	0.7503628447	0.4341039234
127	0.7489114659	0.4338438515
128	0.7503628447	0.4334554532
129	0.7503628447	0.4332410503
130	0.7489114659	0.4329671667
131	0.7489114659	0.432561049
132	0.7489114659	0.4323745067
133	0.7518142235	0.4321497012
134	0.7532656023	0.4315965747
135	0.7518142235	0.4313973554
136	0.7532656023	0.4309041865
137	0.7518142235	0.4306088968
138	0.7532656023	0.4298563185
139	0.7547169811	0.4296340787
140	0.7547169811	0.4291593113
141	0.7547169811	0.4287542335
142	0.7547169811	0.4284126511
143	0.7547169811	0.4281906071
144	0.7547169811	0.4274864373
145	0.7547169811	0.427226922
146	0.7547169811	0.4268570291
147	0.7547169811	0.4265839389
148	0.7547169811	0.4264584178
149	0.7561683599	0.426244542
150	0.7561683599	0.4256580622
151	0.7561683599	0.425547449
152	0.7561683599	0.4253147341
153	0.7576197388	0.4250064396
154	0.7590711176	0.4248684877
155	0.7561683599	0.4247216964
156	0.7576197388	0.4244445759
157	0.7576197388	0.4242640107
158	0.7605224964	0.4238795986
159	0.7590711176	0.4234293409
160	0.7605224964	0.4232257825
161	0.7605224964	0.4230514926
162	0.7590711176	0.422838866
163	0.7590711176	0.4227762381
164	0.7590711176	0.4223568299
165	0.7590711176	0.4222651065
166	0.7605224964	0.4219446327
167	0.7619738752	0.4213526731
168	0.7619738752	0.4212470822
169	0.7619738752	0.4211088657
170	0.7619738752	0.4205173952
171	0.7619738752	0.4201984289
172	0.763425254	0.4200966083
173	0.763425254	0.4200050209
174	0.763425254	0.4198147689
175	0.763425254	0.4196058941
176	0.763425254	0.4195426191
177	0.763425254	0.4194942545
178	0.763425254	0.4192832281
179	0.763425254	0.4189425468
180	0.763425254	0.4187952212
181	0.763425254	0.4185605211
182	0.763425254	0.4184356218
183	0.763425254	0.4181605876
184	0.763425254	0.4179707779
185	0.763425254	0.417368196
186	0.763425254	0.4170759936
187	0.763425254	0.4165930234
188	0.763425254	0.4163069647
189	0.7619738752	0.4161086125
190	0.7619738752	0.4159836654
191	0.7605224964	0.4157940733
192	0.7605224964	0.4155452607
193	0.7605224964	0.4153441318
194	0.7605224964	0.4152466881
195	0.763425254	0.4147999574
196	0.763425254	0.4147243461
197	0.763425254	0.414539477
198	0.763425254	0.4142910601
199	0.763425254	0.4140984244
200	0.763425254	0.4138784228
201	0.763425254	0.4134545478
202	0.763425254	0.4132743909
203	0.763425254	0.4130709417
204	0.763425254	0.4128010893
205	0.763425254	0.4124218392
206	0.763425254	0.4121861683
207	0.763425254	0.411789706
208	0.763425254	0.4110580019
209	0.763425254	0.4109284365
210	0.7619738752	0.4107110024
211	0.7619738752	0.4105827023
212	0.763425254	0.4104895526
213	0.763425254	0.4104165041
214	0.7605224964	0.4101640421
215	0.7605224964	0.4101325893
216	0.7605224964	0.4099941955
217	0.7605224964	0.4098311018
218	0.7605224964	0.4096838758
219	0.7605224964	0.4095527924
220	0.7605224964	0.4094608626
221	0.7619738752	0.4093272772
222	0.7619738752	0.4091094579
223	0.763425254	0.4089136796
224	0.7648766328	0.4084874591
225	0.763425254	0.4082347142
226	0.7648766328	0.4081390826
227	0.7648766328	0.4079802738
228	0.7677793904	0.4077271573
229	0.7663280116	0.40766653
230	0.7663280116	0.4075320134
231	0.7648766328	0.4072837702
232	0.7677793904	0.4071110965
233	0.7677793904	0.4070528613
234	0.7663280116	0.4065999517
235	0.7663280116	0.4064310296
236	0.7663280116	0.4058722917
237	0.7677793904	0.4054332526
238	0.7648766328	0.4051447239
239	0.7648766328	0.4049528634
240	0.7648766328	0.4049109974
241	0.7648766328	0.4048350712
242	0.7648766328	0.4044906429
243	0.7648766328	0.4043956367
244	0.7648766328	0.4041142802
245	0.7648766328	0.4037073602
246	0.7677793904	0.4035503162
247	0.7692307692	0.4031296507
248	0.7663280116	0.4030413409
249	0.7663280116	0.4028244456
250	0.7663280116	0.4027327245
251	0.7663280116	0.4025219325
252	0.7663280116	0.4023455583
253	0.7663280116	0.4021160346
254	0.7648766328	0.4018684257
255	0.7663280116	0.4017434651
256	0.7648766328	0.4013578505
257	0.7663280116	0.4011642241
258	0.7648766328	0.4008915029
259	0.7663280116	0.4007737659
260	0.7677793904	0.4004437615
261	0.7663280116	0.4001551637
262	0.770682148	0.3995991035
263	0.770682148	0.3994488578
264	0.770682148	0.399092764
265	0.770682148	0.3987171058
266	0.770682148	0.398446157
267	0.770682148	0.3983195773
268	0.770682148	0.3980900457
269	0.7721335269	0.3978671186
270	0.770682148	0.3976630221
271	0.770682148	0.397409092
272	0.7721335269	0.3968635501
273	0.7721335269	0.3967600102
274	0.7721335269	0.3966345583
275	0.7721335269	0.3964532191
276	0.7721335269	0.3963543596
277	0.7721335269	0.3962203785
278	0.7721335269	0.3957289225
279	0.7721335269	0.3956452191
280	0.7735849057	0.3955426855
281	0.7735849057	0.3954017174
282	0.7735849057	0.3950086905
283	0.7735849057	0.3948087776
284	0.7721335269	0.3946482074
285	0.7721335269	0.3944141016
286	0.7721335269	0.3943103307
287	0.7721335269	0.3940720501
288	0.7721335269	0.3939264114
289	0.7721335269	0.3937526775
290	0.7721335269	0.3936305873
291	0.7721335269	0.3933388653
292	0.7735849057	0.3932545971
293	0.7721335269	0.3928597936
294	0.7721335269	0.3926184375
295	0.7721335269	0.3922319493
296	0.7721335269	0.3919954019
297	0.7721335269	0.3919469464
298	0.7721335269	0.3918101969
299	0.770682148	0.3916174803
300	0.770682148	0.3912910266
301	0.770682148	0.3910316083
302	0.770682148	0.3909116719
303	0.770682148	0.3908991773
304	0.770682148	0.3904712337
305	0.770682148	0.3903307065
306	0.7692307692	0.3901004158
307	0.7692307692	0.3898991402
308	0.7692307692	0.3897807741
309	0.770682148	0.3895200948
310	0.7721335269	0.3893773195
311	0.7721335269	0.3890211754
312	0.7721335269	0.3889023234
313	0.7750362845	0.3886808079
314	0.7750362845	0.3883920616
315	0.7764876633	0.3882982838
316	0.7779390421	0.3880622416
317	0.7779390421	0.3876967246
318	0.7779390421	0.3873804005
319	0.7779390421	0.3872351016
320	0.7779390421	0.3868928984
321	0.7779390421	0.3864284383
322	0.7779390421	0.3862323985
323	0.7779390421	0.3860410123
324	0.7793904209	0.3858832698
325	0.7779390421	0.3853306217
326	0.7779390421	0.3850394081
327	0.7779390421	0.384949827
328	0.7779390421	0.3845658426
329	0.7779390421	0.3844227645
330	0.7793904209	0.3842505398
331	0.7793904209	0.3840874365
332	0.7793904209	0.3838381354
333	0.7793904209	0.383696324
334	0.7793904209	0.3833702789
335	0.7779390421	0.3831317139
336	0.7779390421	0.3830175183
337	0.7793904209	0.3825058546
338	0.7793904209	0.3824060905
339	0.7779390421	0.382293966
340	0.7779390421	0.3821787429
341	0.7779390421	0.3820399622
342	0.7779390421	0.3817675828
343	0.7779390421	0.3815410413
344	0.7779390421	0.381299553
345	0.7808417997	0.3810043704
346	0.7793904209	0.3808282251
347	0.7793904209	0.380424439
348	0.7793904209	0.3801708242
349	0.7808417997	0.3799021794
350	0.7808417997	0.3794181759
351	0.7808417997	0.3792257903
352	0.7808417997	0.3790918137
353	0.7808417997	0.3789231927
354	0.7822931785	0.3787634973
355	0.7822931785	0.3782944285
356	0.7837445573	0.3778224877
357	0.7837445573	0.3775858045
358	0.7837445573	0.3772477741
359	0.7837445573	0.3769517753
360	0.7837445573	0.3766428445
361	0.7851959361	0.3763591638
362	0.7851959361	0.3763213779
363	0.7851959361	0.3760341087
364	0.7866473149	0.3758352878
365	0.7880986938	0.3756135731
366	0.7880986938	0.3750919481
367	0.7880986938	0.3747836699
368	0.7866473149	0.3744301444
369	0.7866473149	0.3743062302
370	0.7880986938	0.3741588687
371	0.7895500726	0.3739603392
372	0.7895500726	0.3736117891
