iter	Passed	Remaining
0	3	3813
1	7	3740
2	10	3423
3	12	3166
4	15	3046
5	19	3292
6	23	3394
7	27	3386
8	30	3385
9	34	3411
10	37	3391
11	40	3329
12	44	3342
13	48	3385
14	51	3403
15	54	3338
16	57	3299
17	60	3298
18	64	3304
19	67	3298
20	70	3308
21	74	3302
22	77	3296
23	80	3288
24	83	3262
25	87	3294
26	92	3326
27	95	3329
28	99	3327
29	102	3308
30	104	3279
31	108	3280
32	110	3246
33	114	3251
34	117	3241
35	120	3230
36	124	3233
37	127	3233
38	131	3240
39	134	3229
40	138	3232
41	141	3232
42	145	3234
43	148	3235
44	152	3238
45	156	3245
46	160	3247
47	163	3245
48	166	3240
49	170	3240
50	174	3244
51	177	3235
52	179	3202
53	181	3185
54	185	3188
55	189	3191
56	193	3193
57	196	3192
58	199	3184
59	202	3170
60	205	3160
61	208	3155
62	212	3156
63	216	3160
64	219	3161
65	223	3159
66	227	3162
67	231	3167
68	235	3173
69	239	3176
70	243	3182
71	246	3177
72	249	3165
73	252	3155
74	256	3159
75	259	3151
76	263	3156
77	266	3155
78	270	3157
79	274	3153
80	278	3159
81	281	3147
82	284	3147
83	288	3144
84	291	3142
85	294	3133
86	297	3124
87	300	3114
88	303	3110
89	307	3112
90	311	3114
91	315	3113
92	319	3119
93	323	3115
94	325	3105
95	329	3105
96	332	3097
97	335	3088
98	339	3088
99	343	3089
100	347	3089
101	350	3083
102	354	3084
103	357	3082
104	361	3078
105	364	3072
106	367	3064
107	371	3068
108	374	3063
109	379	3068
110	382	3060
111	386	3062
112	390	3062
113	394	3064
114	397	3055
115	400	3053
116	403	3048
117	408	3049
118	412	3051
119	416	3051
120	420	3051
121	423	3044
122	426	3041
123	430	3042
124	434	3043
125	438	3038
126	441	3033
127	445	3033
128	448	3028
129	452	3025
130	456	3024
131	459	3020
132	462	3018
133	466	3017
134	470	3015
135	474	3013
136	478	3012
137	481	3009
138	485	3004
139	487	2995
140	491	2992
141	494	2986
142	498	2984
143	500	2977
144	503	2969
145	507	2970
146	511	2968
147	514	2960
148	517	2953
149	520	2948
150	523	2943
151	527	2941
152	531	2940
153	534	2938
154	538	2934
155	542	2933
156	546	2932
157	550	2934
158	554	2930
159	557	2929
160	561	2925
161	564	2921
162	568	2919
163	572	2919
164	576	2919
165	580	2916
166	584	2913
167	588	2912
168	591	2906
169	594	2903
170	598	2899
171	601	2895
172	605	2893
173	608	2889
174	612	2886
175	615	2881
176	618	2878
177	622	2876
178	626	2872
179	629	2868
180	633	2864
181	637	2863
182	640	2857
183	643	2851
184	646	2849
185	651	2849
186	654	2845
187	657	2839
188	660	2833
189	662	2826
190	666	2823
191	670	2822
192	673	2817
193	677	2814
194	681	2812
195	685	2810
196	690	2814
197	694	2812
198	697	2808
199	701	2805
200	705	2804
201	709	2803
202	713	2802
203	717	2800
204	721	2798
205	725	2797
206	729	2794
207	733	2792
208	737	2789
209	740	2785
210	743	2781
211	747	2778
212	750	2773
213	754	2770
214	756	2763
215	760	2760
216	764	2757
217	767	2754
218	772	2753
219	775	2747
220	778	2743
221	780	2736
222	784	2735
223	788	2731
224	792	2728
225	795	2725
226	799	2723
227	803	2721
228	807	2719
229	811	2717
230	814	2712
231	818	2710
232	821	2704
233	824	2700
234	827	2694
235	831	2690
236	834	2685
237	835	2675
238	838	2670
239	841	2664
240	844	2660
241	848	2658
242	852	2654
243	855	2650
244	858	2646
245	861	2642
246	865	2637
