iter	MultiClass
0	1.821801177
1	1.737117842
2	1.663928704
3	1.597597941
4	1.545003846
5	1.501149253
6	1.459606521
7	1.423995384
8	1.395926062
9	1.363526548
10	1.334928324
11	1.312316084
12	1.289692173
13	1.266022201
14	1.247348004
15	1.232490017
16	1.211313833
17	1.19794506
18	1.182851498
19	1.171525125
20	1.162072788
21	1.148961575
22	1.137880325
23	1.130030498
24	1.1167894
25	1.105766513
26	1.093793785
27	1.084222008
28	1.075752387
29	1.068021212
30	1.060540798
31	1.050252785
32	1.044415152
33	1.038327337
34	1.02997209
35	1.025431497
36	1.019264878
37	1.012296105
38	1.006204565
39	1.000276926
40	0.9946070812
41	0.988740242
42	0.982983894
43	0.9778852015
44	0.972684192
45	0.9696303972
46	0.9645450271
47	0.9607641327
48	0.9555222075
49	0.9511478394
50	0.946520884
51	0.9421434999
52	0.9377996635
53	0.9331631506
54	0.9277437894
55	0.9238334319
56	0.9196588296
57	0.9166878798
58	0.9129311722
59	0.9085201078
60	0.9055762697
61	0.9022900431
62	0.8988797438
63	0.8955617351
64	0.8905762838
65	0.8857684393
66	0.8809985886
67	0.8779781717
68	0.8744566124
69	0.8709736941
70	0.868038985
71	0.86478547
72	0.8618213349
73	0.8586319535
74	0.8564381567
75	0.8521324891
76	0.8484754339
77	0.8466459612
78	0.8430845285
79	0.8411223177
80	0.83828848
81	0.836116181
82	0.8339933092
83	0.8319412558
84	0.8292365664
85	0.8254154883
86	0.8226738143
87	0.8202214308
88	0.8184974266
89	0.8161901345
90	0.8135971801
91	0.8116272972
92	0.8090582636
93	0.80751644
94	0.8049436852
95	0.8026355677
96	0.799658885
97	0.7973745299
98	0.795077145
99	0.7915251155
100	0.78873274
101	0.7871821098
102	0.7844135936
103	0.7829952453
104	0.7814994458
105	0.7788155934
106	0.7775880751
107	0.7762609414
108	0.7741870287
109	0.7721597524
110	0.7709665424
111	0.7690427719
112	0.7670457163
113	0.7631315601
114	0.7615091568
115	0.758912364
116	0.7571460947
117	0.7549364601
118	0.753115448
119	0.7506932356
120	0.748809675
121	0.7476719931
122	0.7462366708
123	0.7440755766
124	0.7424108464
125	0.7402091327
126	0.7387862883
127	0.7372613405
128	0.7355216763
129	0.7333063776
130	0.7305348315
131	0.7295945085
132	0.7279949589
133	0.7259133532
134	0.7245359246
135	0.7236153421
136	0.7229312416
137	0.720576829
138	0.7186014483
139	0.717491888
140	0.7149854299
141	0.7140939031
142	0.7123179279
143	0.7102887381
144	0.7083639484
145	0.7067859239
146	0.7048431308
147	0.7034591636
148	0.7021234007
149	0.7008013398
150	0.6989634979
151	0.6979041049
152	0.6966045008
153	0.6957456917
154	0.693890143
155	0.6921694374
156	0.6905943405
157	0.6890211818
158	0.6883163105
159	0.6872767993
160	0.6856585801
161	0.6847129071
162	0.6827793267
163	0.6817718961
164	0.6805720779
165	0.6784385398
166	0.6771107094
167	0.6761848052
168	0.6750945935
169	0.6732804529
170	0.6724534092
171	0.6706460883
172	0.6690913181
173	0.667934305
174	0.6663319959
175	0.6645680274
176	0.6634287856
177	0.6616994593
178	0.6603447942
179	0.6594057584
180	0.6572859238
181	0.6561555918
182	0.6550560341
183	0.6538591093
184	0.652818844
185	0.6513826864
186	0.650540315
187	0.6491841201
188	0.6480444212
189	0.6470660731
190	0.6457651054
191	0.6448915691
192	0.6438426012
193	0.6425867016
194	0.6414300104
195	0.6404219592
196	0.6390678911
197	0.6382466675
198	0.6368713469
199	0.6357879032
200	0.6345371859
201	0.633657961
202	0.6321976194
203	0.6310601492
204	0.6302315159
205	0.6296082367
206	0.6282232034
207	0.627388391
208	0.62584252
209	0.6249584338
210	0.624281766
211	0.6234857069
212	0.6224928928
213	0.6213518295
214	0.6203449953
215	0.618921007
216	0.6178242104
217	0.6173188552
218	0.6166052719
219	0.615887557
220	0.6149342408
221	0.6134904195
222	0.6122158825
223	0.6109138308
224	0.6092616714
225	0.6083155006
226	0.6076269519
227	0.6066588038
228	0.6058541794
229	0.6049726977
230	0.6040678625
231	0.6033075621
232	0.6023406845
233	0.6015710555
234	0.6009027532
235	0.6000421955
236	0.5995263654
237	0.5981912172
238	0.5975416206
239	0.5958501152
240	0.5950780774
241	0.5945094564
242	0.5936839411
243	0.5920136139
244	0.5911987794
245	0.5900819274
246	0.5886376345
247	0.5879869909
248	0.5869406772
249	0.5864574502
250	0.5857366923
251	0.5848179175
252	0.5842560862
253	0.5832204586
254	0.5823056064
255	0.5814515147
256	0.5804415804
257	0.579832762
258	0.5789692328
259	0.5781826471
260	0.5770494647
261	0.5765941982
262	0.5759721042
263	0.5754153819
264	0.5745462702
265	0.5737291175
266	0.5730585239
267	0.5722066125
268	0.5715643231
269	0.5706781227
270	0.5698768501
271	0.5694791157
272	0.5688951394
273	0.5682631189
274	0.5673592135
275	0.5665665744
276	0.5660647462
277	0.5655377447
278	0.5643490497
279	0.5633601072
280	0.5620154317
281	0.5613824437
282	0.5605410634
283	0.5592024651
284	0.558761982
285	0.5578326996
286	0.5570087479
287	0.5560462743
288	0.5547194812
289	0.5538138271
290	0.5525722519
291	0.5517456724
292	0.5506650459
293	0.5500881932
294	0.549110903
295	0.5485294472
296	0.5476143624
297	0.5471750379
298	0.546215988
299	0.5452424721
