iter	Passed	Remaining
0	7	2215
1	12	1869
2	18	1789
3	26	1971
4	34	2059
5	42	2086
6	48	2017
7	53	1952
8	59	1936
9	66	1931
10	73	1938
11	80	1936
12	87	1931
13	93	1918
14	100	1910
15	106	1897
16	113	1886
17	119	1868
18	125	1856
19	132	1851
20	138	1845
21	145	1839
22	151	1820
23	157	1806
24	162	1790
25	169	1788
26	177	1793
27	183	1786
28	190	1780
29	197	1774
30	204	1771
31	210	1766
32	216	1752
33	223	1745
34	229	1735
35	236	1730
36	242	1724
37	248	1714
38	254	1705
39	260	1692
40	266	1686
41	274	1683
42	280	1677
43	286	1665
44	291	1653
45	298	1646
46	305	1641
47	311	1636
48	318	1630
49	324	1624
50	330	1613
51	337	1607
52	343	1602
53	350	1595
54	357	1591
55	364	1586
56	371	1583
57	377	1575
58	383	1568
59	390	1562
60	397	1557
61	405	1554
62	412	1552
63	419	1546
64	426	1540
65	432	1534
66	439	1528
67	445	1520
68	452	1515
69	458	1505
70	464	1497
71	470	1491
72	477	1484
73	484	1478
74	490	1471
75	496	1463
76	502	1455
77	508	1448
78	515	1442
79	521	1434
80	527	1427
81	534	1420
82	539	1410
83	545	1402
84	552	1397
85	559	1393
86	567	1389
87	573	1382
88	581	1378
89	588	1373
90	594	1364
91	600	1358
92	607	1351
93	614	1346
94	621	1340
95	628	1335
96	636	1331
97	643	1326
98	650	1321
99	656	1313
100	664	1308
101	671	1303
102	678	1298
103	685	1292
104	691	1283
105	696	1275
106	702	1267
107	709	1260
108	715	1253
109	722	1248
110	729	1242
111	735	1235
112	742	1228
113	749	1223
114	756	1217
115	762	1210
116	769	1203
117	775	1196
118	782	1189
119	789	1183
120	794	1176
121	800	1167
122	808	1163
123	816	1158
124	822	1151
125	829	1145
126	836	1139
127	842	1132
128	849	1126
129	857	1121
130	865	1117
131	872	1110
132	878	1103
133	885	1097
134	891	1090
135	897	1082
136	902	1073
137	907	1065
138	913	1058
139	919	1051
140	926	1044
141	931	1036
142	937	1029
143	943	1022
144	950	1016
145	958	1010
146	963	1003
147	970	996
148	978	991
149	984	984
150	990	977
151	998	972
152	1006	966
153	1018	965
154	1027	961
155	1035	956
156	1043	950
157	1051	944
158	1058	938
159	1066	933
160	1073	926
161	1080	920
162	1089	915
163	1096	908
164	1102	902
165	1109	895
166	1114	887
167	1121	880
168	1128	874
169	1134	867
170	1141	860
171	1147	854
172	1156	849
173	1163	842
174	1169	835
175	1177	829
176	1184	823
177	1191	816
178	1197	809
179	1202	801
180	1208	794
181	1215	788
182	1222	781
183	1229	775
184	1236	768
185	1242	761
186	1249	754
187	1255	747
188	1260	740
189	1266	733
190	1273	726
191	1280	720
192	1286	713
193	1293	706
194	1299	699
195	1304	692
196	1309	684
197	1317	678
198	1324	672
199	1329	664
200	1336	658
201	1342	651
202	1350	645
203	1356	638
204	1361	631
205	1367	624
206	1374	617
207	1380	610
208	1387	604
209	1392	596
210	1398	590
211	1405	583
212	1412	577
213	1419	570
214	1425	563
215	1432	557
216	1438	550
217	1443	543
218	1449	536
219	1455	529
220	1462	522
221	1470	516
222	1475	509
223	1481	502
224	1487	495
225	1494	489
226	1500	482
227	1506	475
228	1512	468
229	1517	461
230	1523	455
231	1531	448
232	1537	442
233	1544	435
234	1552	429
235	1559	423
236	1566	416
237	1574	410
238	1581	403
239	1588	397
240	1593	390
241	1598	383
242	1604	376
243	1612	370
244	1619	363
245	1625	356
246	1632	350
247	1638	343
248	1645	336
249	1651	330
250	1658	323
251	1665	317
252	1671	310
253	1677	303
254	1683	297
255	1691	290
256	1698	284
257	1704	277
258	1711	270
259	1717	264
260	1723	257
261	1729	250
262	1735	244
263	1741	237
264	1747	230
265	1754	224
266	1762	217
267	1767	211
268	1774	204
269	1782	198
270	1789	191
271	1795	184
272	1801	178
273	1808	171
274	1816	165
275	1823	158
276	1828	151
277	1833	145
278	1840	138
279	1848	132
280	1855	125
281	1861	118
282	1867	112
283	1872	105
284	1879	98
285	1887	92
286	1893	85
287	1898	79
288	1905	72
289	1911	65
290	1918	59
291	1924	52
292	1930	46
293	1937	39
294	1944	32
295	1950	26
296	1957	19
297	1963	13
298	1970	6
299	1977	0
