iter	Passed	Remaining
0	7	7572
1	14	7407
2	21	7242
3	25	6428
4	32	6376
5	38	6395
6	44	6348
7	51	6333
8	57	6315
9	63	6317
10	73	6597
11	83	6849
12	89	6820
13	96	6775
14	101	6654
15	108	6661
16	113	6579
17	120	6558
18	125	6478
19	135	6616
20	144	6732
21	151	6726
22	158	6713
23	163	6643
24	168	6581
25	174	6535
26	180	6509
27	186	6469
28	191	6404
29	199	6449
30	204	6402
31	210	6355
32	219	6438
33	229	6511
34	239	6612
35	249	6692
36	261	6811
37	271	6881
38	282	6956
39	293	7035
40	302	7064
41	307	7010
42	313	6967
43	318	6916
44	324	6890
45	330	6853
46	337	6838
47	347	6890
48	355	6908
49	363	6909
50	369	6868
51	374	6835
52	380	6805
53	389	6821
54	397	6834
55	404	6824
56	410	6784
57	416	6765
58	422	6745
59	429	6736
60	435	6711
61	442	6690
62	452	6726
63	464	6790
64	471	6783
65	477	6762
66	484	6748
67	493	6765
68	504	6802
69	515	6846
70	521	6823
71	527	6803
72	534	6788
73	542	6785
74	549	6776
75	553	6729
76	560	6717
77	565	6688
78	573	6685
79	580	6675
80	591	6710
81	602	6746
82	613	6773
83	623	6794
84	629	6773
85	636	6766
86	642	6746
87	649	6736
88	656	6715
89	662	6703
90	669	6692
91	676	6681
92	683	6666
93	692	6675
94	704	6707
95	714	6729
96	726	6759
97	734	6764
98	741	6749
99	751	6765
100	762	6787
101	773	6810
102	784	6833
103	794	6845
104	800	6824
105	806	6799
106	813	6785
107	819	6768
108	830	6789
109	840	6799
110	848	6798
111	859	6812
112	868	6814
113	874	6799
114	882	6792
115	889	6776
116	895	6756
117	901	6740
118	908	6723
119	913	6701
120	920	6689
121	927	6676
122	938	6690
123	948	6703
124	958	6708
125	964	6693
126	970	6673
127	977	6657
128	986	6661
129	996	6668
130	1006	6674
131	1013	6667
132	1023	6671
133	1033	6681
134	1040	6666
135	1046	6650
136	1055	6650
137	1065	6653
138	1073	6648
139	1081	6645
140	1091	6652
141	1097	6633
142	1103	6615
143	1108	6591
144	1118	6592
145	1127	6595
146	1134	6585
147	1140	6567
148	1146	6546
149	1153	6533
150	1159	6518
151	1168	6516
152	1177	6518
153	1186	6517
154	1196	6521
155	1205	6522
156	1215	6527
157	1223	6522
158	1234	6529
159	1242	6521
160	1249	6513
161	1259	6514
162	1269	6516
163	1278	6518
164	1284	6499
165	1291	6488
166	1302	6499
167	1311	6495
168	1318	6481
169	1323	6461
170	1329	6445
171	1336	6431
172	1341	6412
173	1349	6405
174	1357	6401
175	1366	6397
176	1370	6374
177	1376	6358
178	1383	6343
179	1389	6329
180	1395	6315
181	1403	6308
182	1413	6310
183	1423	6312
184	1434	6321
185	1445	6326
186	1453	6319
187	1461	6311
188	1470	6309
189	1481	6315
190	1490	6314
191	1500	6314
192	1510	6316
193	1520	6318
194	1528	6309
195	1533	6291
196	1537	6268
197	1543	6251
198	1549	6237
199	1556	6224
200	1562	6209
201	1566	6187
202	1573	6175
203	1584	6182
204	1592	6175
205	1601	6173
206	1609	6166
207	1619	6168
208	1628	6163
209	1635	6152
210	1640	6133
211	1647	6122
212	1657	6124
213	1664	6115
214	1671	6101
215	1675	6079
216	1683	6076
217	1689	6060
218	1695	6047
219	1701	6032
