iter	Passed	Remaining
0	82	82651
1	163	81812
2	251	83428
3	337	84041
4	416	82935
5	500	82855
6	580	82283
7	665	82503
8	749	82491
9	837	82928
10	927	83391
11	1012	83379
12	1095	83141
13	1180	83140
14	1265	83096
15	1352	83170
16	1441	83344
17	1527	83355
18	1620	83667
19	1708	83722
20	1798	83845
21	1884	83796
22	1970	83714
23	2059	83747
24	2148	83804
25	2238	83843
26	2325	83800
27	2417	83907
28	2510	84069
29	2597	83979
30	2685	83940
31	2776	83981
32	2863	83920
33	2951	83861
34	3037	83738
35	3127	83738
36	3221	83843
37	3310	83804
38	3394	83647
39	3483	83614
40	3571	83528
41	3638	82999
42	3724	82896
43	3811	82810
44	3897	82709
45	3988	82727
46	4072	82572
47	4157	82449
48	4240	82297
49	4324	82172
50	4414	82141
51	4498	82004
52	4583	81898
53	4670	81826
54	4758	81759
55	4841	81617
56	4891	80919
57	4977	80833
58	5063	80751
59	5148	80654
60	5237	80628
61	5297	80140
62	5380	80021
63	5469	79984
64	5555	79907
65	5646	79908
66	5731	79815
67	5815	79700
68	5901	79622
69	5983	79494
70	6068	79403
71	6151	79280
72	6233	79157
73	6316	79043
74	6381	78709
75	6444	78351
76	6528	78260
77	6612	78165
78	6698	78098
79	6788	78068
80	6872	77973
81	6954	77858
82	7037	77747
83	7127	77720
84	7179	77290
85	7268	77245
86	7312	76742
87	7395	76639
88	7483	76604
89	7567	76519
90	7651	76431
91	7738	76379
92	7807	76144
93	7887	76017
94	7971	75935
95	8057	75877
96	8149	75864
97	8202	75497
98	8291	75462
99	8377	75396
100	8462	75324
101	8553	75304
102	8641	75252
103	8733	75241
104	8819	75176
105	8905	75109
106	8987	75008
107	9075	74955
108	9131	74645
109	9218	74582
110	9304	74517
111	9388	74433
112	9473	74366
113	9558	74289
114	9618	74019
115	9700	73926
116	9781	73822
117	9868	73763
118	9922	73459
119	9976	73161
120	10062	73098
121	10149	73042
122	10233	72963
123	10315	72875
124	10398	72790
125	10480	72700
126	10562	72608
127	10646	72532
128	10736	72493
129	10818	72401
130	10905	72343
131	10991	72278
132	11074	72194
133	11155	72091
134	11203	71787
135	11288	71715
136	11376	71664
137	11465	71615
138	11550	71549
139	11643	71523
140	11729	71460
141	11818	71408
142	11907	71362
143	11997	71319
144	12088	71277
145	12180	71245
146	12271	71209
147	12362	71167
148	12448	71097
149	12543	71080
150	12633	71034
151	12723	70983
152	12815	70944
153	12904	70889
154	12991	70824
155	13084	70788
156	13170	70719
157	13261	70673
158	13349	70607
159	13440	70563
160	13526	70488
161	13616	70434
162	13706	70383
163	13801	70351
164	13891	70298
