url,titulo,precio_contado,precio_financiado,año,kilometros,caballos,tipo_cambio,combustible,traccion,velocidad_maxima,largo,ancho,alto,peso,deposito
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mazda-cx-60-cx-60-2-5l-e-skyactiv-g-phev-exclusive-line-comb-pano-192-suv-y-4x4-automatico-2022-128776,"Mazda CX-60
        2.5L e-Skyactiv-G PHEV Exclusive-Line COMB PANO",34990,33290.0,2022,32.120 km,327 CV,Automático,Híbrido enchufable,4x4,200km/h,"4,75m","1,89m","1,69m",1.920kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c4-c4-1-2-puretech-plus-s-and-s-130-aut-130-compacto-automatico-2025-126114,"Citroen C4
        1.2 PureTech Plus S&S 130 Aut.",17990,16390.0,2025,18.514 km,130 CV,Automático,Gasolina,Delantera,210km/h,"4,35m","1,83m","1,52m",1.322kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-2008-2008-1-5bluehdi-s-and-s-allure-pack-110-110-suv-y-4x4-manual-2021-128969,"Peugeot 2008
        1.5BlueHDi S&S Allure Pack 110",14990,13590.0,2021,88.772 km,110 CV,Manual,Diésel,Delantera,185km/h,"4,30m","1,77m","1,53m",1.205kg,41l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-clase-b-b-180d-8g-dct-116-monovolumen-automatico-2022-128290,"Mercedes Clase B
        B 180d 8G-DCT",25590,23290.0,2022,41.931 km,116 CV,Automático,Diésel,Delantera,200km/h,"4,42m","1,80m","1,56m",,43l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-golf-golf-2-0-tsi-r-dsg-235kw-320-compacto-automatico-2021-126193,"Volkswagen Golf
        2.0 TSI R DSG",34990,33290.0,2021,100.088 km,320 CV,Automático,Gasolina,4x4,250km/h,"4,29m","1,79m","1,46m",1.551kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-kgm-ssangyong-xlv-xlv-d16t-limited-4x2-115-suv-y-4x4-manual-2017-129134,"Kgm / Ssangyong XLV
        D16T Limited 4x2",11790,11190.0,2017,98.503 km,115 CV,Manual,Diésel,Delantera,170km/h,"4,44m","1,80m","1,61m",1.405kg,47l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q2-q2-30-tdi-s-line-85kw-116-suv-y-4x4-manual-2022-115504,"Audi Q2
        30 TDI S line",19490,17690.0,2022,133.138 km,116 CV,Manual,Diésel,Delantera,197km/h,"4,21m","1,79m","1,51m",,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-nissan-qashqai-qashqai-1-3-dig-t-mhev-12v-premiere-edition-4x2-aut-116kw-158-suv-y-4x4-automatico-2021-125401,"Nissan Qashqai
        1.3 DIG-T mHEV 12V Premiere Edition 4x2 Aut.",20990,19090.0,2021,59.781 km,158 CV,Automático,Mild hybrid,Delantera,198km/h,"4,43m","1,85m","1,63m",1.416kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-alfa-romeo-junior-junior-ibrida-1-2-107kw-edct6-136-suv-y-4x4-automatico-2025-128480,"Alfa Romeo Junior
        Ibrida 1.2 eDCT6",23490,21390.0,2025,17.086 km,145 CV,Automático,Mild hybrid,Delantera,206km/h,"4,17m","1,78m","1,54m",1.305kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-clase-cla-cla-shooting-brake-220d-8g-dct-190-familiar-automatico-2021-124804,"Mercedes Clase CLA
        CLA Shooting Brake 220d 8G-DCT",23490,21390.0,2021,129.593 km,190 CV,Automático,Diésel,Delantera,237km/h,"4,69m","1,83m","1,45m",1.585kg,51l
