Año;Autoridad Portuaria;Operacion;Transito;Graneles líquidos;Graneles sólidos;Mercancía general convencional;Mercancía general en contenedor;Mercancía general;Pesca;Avituallamiento;Tráfico interior;TRÁFICO TOTAL;;;
1962;A Coruña;Desembarque;Incluido tránsito;204.092;147.137;110.979;0;110.979;71.917;0;6.319;540.444;;;
1962;A Coruña;Embarque;Incluido tránsito;6.088;357.934;48.127;0;48.127;0;246.628;144;658.921;;;
1962;Alicante;Desembarque;Incluido tránsito;148.633;465.540;269.215;0;269.215;5.932;0;0;889.320;;;
1962;Alicante;Embarque;Incluido tránsito;0;54.872;194.343;0;194.343;0;31;0;249.246;;;
1962;Almería;Desembarque;Incluido tránsito;97.697;161.995;37.804;0;37.804;9.631;0;0;307.127;;;
1962;Almería;Embarque;Incluido tránsito;0;743.387;45.547;0;45.547;0;2.016;0;790.950;;;
1962;Avilés;Desembarque;Incluido tránsito;5.343;2.170.662;203.957;0;203.957;5.711;0;0;2.385.673;;;
1962;Avilés;Embarque;Incluido tránsito;0;847.880;514.331;0;514.331;0;72.515;265;1.434.991;;;
1962;Bahía de Algeciras;Desembarque;Incluido tránsito;17.551;4.185;37.591;0;37.591;49.277;0;0;108.604;;;
1962;Bahía de Algeciras;Embarque;Incluido tránsito;0;0;57.124;0;57.124;0;62.115;0;119.239;;;
1962;Bahía de Cádiz;Desembarque;Incluido tránsito;0;115.134;155.574;0;155.574;39.730;0;7.603;318.041;;;
1962;Bahía de Cádiz;Embarque;Incluido tránsito;0;7.996;116.847;0;116.847;0;228.190;2.969;356.002;;;
1962;Baleares;Desembarque;Incluido tránsito;0;229.308;221.807;0;221.807;2.431;0;0;453.546;;;
1962;Baleares;Embarque;Incluido tránsito;0;53.041;134.720;0;134.720;0;139.689;0;327.450;;;
1962;Barcelona;Desembarque;Incluido tránsito;1.074.466;1.114.975;1.323.102;0;1.323.102;2.902;0;0;3.515.445;;;
1962;Barcelona;Embarque;Incluido tránsito;22.326;488.806;384.320;0;384.320;0;207.969;0;1.103.421;;;
1962;Bilbao;Desembarque;Incluido tránsito;504.408;2.698.776;982.416;0;982.416;2.723;0;293.088;4.481.411;;;
1962;Bilbao;Embarque;Incluido tránsito;59.700;868.323;239.562;0;239.562;0;187.757;604.855;1.960.197;;;
