iter	Passed	Remaining
0	38	57178
1	106	79419
2	162	81310
3	212	79558
4	270	80956
5	332	82700
6	392	83721
7	456	85125
8	511	84801
9	575	85680
10	639	86500
11	701	87012
12	764	87410
13	826	87724
14	890	88149
15	964	89463
16	1025	89436
17	1077	88753
18	1136	88585
19	1196	88541
20	1253	88291
21	1311	88114
22	1374	88256
23	1439	88507
24	1502	88636
25	1568	88916
26	1643	89672
27	1709	89857
28	1780	90292
29	1858	91049
30	1948	92311
31	2034	93327
32	2162	96153
33	2216	95571
34	2242	93854
35	2287	93027
36	2345	92743
37	2407	92627
38	2465	92365
39	2525	92175
40	2582	91911
41	2640	91657
42	2694	91287
43	2753	91129
44	2770	89582
45	2831	89496
46	2891	89395
47	2910	88056
48	2984	88388
49	3059	88718
50	3103	88177
51	3177	88477
52	3242	88523
53	3305	88525
54	3362	88338
55	3416	88091
56	3474	87971
57	3536	87919
58	3593	87768
59	3652	87660
60	3713	87595
61	3771	87481
62	3828	87317
63	3854	86495
64	3912	86384
65	3971	86288
66	4028	86170
67	4094	86227
68	4145	85980
69	4205	85903
70	4264	85836
71	4326	85812
72	4387	85771
73	4451	85785
74	4517	85824
75	4577	85759
76	4636	85678
77	4664	85040
78	4728	85054
79	4785	84947
80	4843	84853
81	4901	84761
82	4959	84666
83	4989	84103
84	5032	83774
85	5091	83710
86	5150	83654
87	5208	83569
88	5268	83532
89	5339	83650
90	5426	84018
91	5483	83918
92	5563	84177
93	5641	84382
94	5732	84777
95	5785	84609
96	5849	84604
97	5912	84589
98	5977	84584
99	6043	84604
100	6110	84634
101	6179	84700
102	6250	84770
103	6323	84882
104	6395	84973
105	6458	84938
106	6518	84865
107	6578	84786
108	6637	84702
109	6711	84810
110	6772	84745
111	6839	84754
112	6898	84675
113	6969	84731
114	7036	84749
115	7097	84681
116	7152	84543
117	7208	84425
118	7239	84011
119	7298	83935
120	7354	83817
121	7398	83570
122	7482	83766
123	7621	84571
124	7712	84832
125	7831	85396
126	7876	85155
127	7946	85173
128	8009	85129
129	8091	85271
130	8146	85136
131	8187	84857
132	8219	84477
133	8275	84357
134	8362	84554
135	8435	84608
136	8510	84673
137	8600	84879
138	8682	85016
139	8736	84869
140	8812	84936
141	8889	85016
142	8962	85050
143	9029	85029
144	9097	85014
145	9163	84984
146	9220	84863
147	9286	84836
148	9344	84723
149	9419	84775
150	9500	84871
151	9568	84861
152	9638	84858
153	9712	84889
154	9774	84818
155	9834	84728
156	9892	84619
157	9945	84469
158	9999	84331
159	10065	84302
160	10125	84207
161	10173	84029
162	10230	83915
163	10295	83870
164	10366	83874
165	10429	83809
166	10493	83758
167	10557	83704
168	10619	83633
169	10679	83549
170	10739	83464
171	10796	83362
172	10843	83176
173	10903	83092
174	10964	83014
175	11022	82920
176	11079	82814
177	11130	82667
178	11172	82450
179	11231	82367
180	11288	82259
181	11345	82159
182	11396	82020
183	11460	81968
184	11516	81859
185	11570	81737
186	11623	81611
187	11682	81527
188	11753	81530
189	11819	81493
190	11886	81463
191	11954	81437
192	12012	81345
193	12066	81234
194	12092	80928
195	12153	80855
196	12212	80776
197	12270	80687
198	12324	80571
199	12358	80328
200	12413	80226
201	12468	80122
202	12523	80015
203	12582	79937
204	12630	79788
205	12692	79727
206	12755	79675
207	12809	79566
208	12884	79588
209	12947	79535
210	13010	79478
211	13031	79171
212	13089	79088
213	13145	78997
214	13207	78936
215	13256	78800
216	13313	78717
217	13381	78691
218	13444	78640
219	13512	78620
220	13569	78531
221	13621	78417
222	13686	78375
223	13748	78317
224	13820	78316
225	13903	78374
226	13962	78302
227	14019	78216
228	14133	78443
229	14203	78426
230	14268	78383
231	14334	78343
232	14393	78270
233	14458	78221
234	14518	78150
235	14586	78122
236	14672	78190
237	14751	78217
238	14823	78211
239	14887	78160
240	14952	78112
241	15025	78105
242	15049	77848
243	15115	77809
244	15187	77797
245	15258	77783
246	15341	77826
247	15397	77734
248	15470	77725
249	15539	77697
250	15603	77642
251	15669	77603
252	15739	77576
253	15808	77547
254	15880	77533
255	15956	77537
256	16022	77492
257	16085	77434
258	16149	77382
259	16218	77350
260	16282	77296
261	16349	77254
262	16417	77218
263	16484	77176
264	16554	77152
265	16618	77094
266	16676	77010
267	16735	76935
268	16808	76919
269	16868	76845
270	16930	76779
271	16985	76686
272	17040	76588
273	17096	76498
274	17148	76386
275	17206	76306
276	17269	76248
277	17341	76226
278	17408	76185
279	17478	76154
280	17558	76168
281	17629	76144
282	17696	76099
283	17764	76062
284	17833	76026
285	17906	76008
286	17961	75913
287	18018	75829
288	18078	75754
289	18130	75649
290	18187	75562
291	18248	75494
292	18317	75456
293	18383	75408
294	18445	75344
295	18509	75286
296	18568	75211
297	18628	75138
298	18690	75075
299	18752	75009
300	18809	74924
301	18866	74841
302	18928	74776
303	19002	74760
304	19074	74733
305	19137	74672
306	19206	74637
307	19278	74609
308	19338	74538
309	19426	74573
310	19496	74537
311	19556	74466
312	19630	74444
313	19691	74375
314	19749	74295
315	19828	74294
316	19916	74325
317	20015	74398
318	20085	74360
319	20159	74338
320	20239	74336
321	20310	74302
322	20375	74246
323	20441	74193
324	20503	74126
325	20565	74060
326	20625	73986
327	20689	73927
328	20752	73864
329	20815	73800
330	20873	73720
331	20932	73640
332	20998	73589
333	21055	73505
334	21112	73419
335	21169	73337
336	21228	73260
337	21284	73174
338	21339	73083
339	21392	72985
340	21472	72981
341	21529	72897
342	21586	72814
343	21642	72728
344	21698	72643
345	21756	72564
346	21816	72492
347	21882	72438
348	21968	72452
349	22026	72372
350	22172	72583
351	22331	72832
352	22418	72843
353	22483	72785
354	22548	72725
355	22615	72673
356	22680	72615
357	22750	72572
358	22834	72573
359	22902	72523
360	22965	72460
361	23029	72396
362	23093	72333
363	23162	72288
364	23239	72265
365	23305	72208
366	23420	72305
367	23519	72347
368	23589	72303
369	23659	72258
370	23730	72213
371	23798	72162
372	23862	72099
373	23931	72050
374	23997	71992
375	24066	71944
376	24170	71997
377	24241	71953
378	24303	71885
379	24364	71812
380	24425	71738
381	24487	71666
382	24538	71565
383	24602	71499
384	24661	71420
385	24730	71372
386	24789	71293
387	24857	71240
388	24919	71169
389	24984	71111
390	25042	71029
391	25103	70956
392	25163	70879
393	25223	70804
394	25284	70731
395	25340	70646
396	25397	70563
397	25481	70555
398	25543	70485
399	25606	70418
400	25686	70397
401	25754	70344
402	25816	70275
403	25889	70236
404	25954	70173
405	26019	70112
406	26079	70037
407	26140	69965
408	26197	69880
409	26253	69796
410	26311	69716
411	26369	69635
412	26455	69630
413	26515	69554
414	26569	69464
415	26624	69378
416	26694	69328
417	26757	69261
418	26823	69203
419	26887	69138
420	26945	69060
421	27006	68987
422	27066	68913
423	27128	68845
424	27201	68803
425	27262	68731
426	27317	68645
427	27374	68564
428	27433	68488
429	27505	68444
430	27564	68367
431	27620	68283
432	27681	68213
433	27747	68153
434	27806	68077
435	27862	67994
436	27922	67921
437	27983	67850
438	28040	67769
439	28104	67707
440	28168	67643
441	28236	67589
442	28296	67516
443	28364	67460
444	28429	67399
445	28488	67323
446	28545	67244
447	28601	67162
448	28662	67091
449	28714	67000
450	28776	66931
451	28842	66872
452	28905	66809
453	28971	66750
454	29031	66676
455	29101	66627
456	29164	66561
457	29216	66470
458	29273	66390
459	29332	66316
460	29392	66243
461	29444	66154
462	29500	66072
463	29558	65997
464	29614	65915
465	29691	65881
466	29744	65794
467	29800	65713
468	29855	65632
469	29914	65557
470	29975	65486
471	30035	65415
472	30092	65338
473	30147	65256
474	30206	65181
475	30262	65102
476	30318	65022
477	30372	64937
478	30427	64857
479	30482	64775
480	30539	64697
481	30600	64630
482	30667	64572
483	30733	64514
484	30799	64456
485	30863	64394
486	30921	64319
487	30986	64258
488	31041	64177
489	31101	64106
490	31160	64034
491	31208	63940
492	31260	63852
493	31320	63782
494	31378	63708
495	31438	63637
496	31494	63558
497	31553	63487
498	31604	63399
499	31666	63333
500	31729	63268
501	31791	63202
502	31865	63160
503	31932	63104
504	31999	63048
505	32062	62983
506	32124	62918
507	32190	62859
508	32255	62800
509	32317	62734
510	32379	62668
511	32442	62604
512	32502	62533
513	32568	62474
514	32627	62403
515	32690	62340
516	32751	62272
517	32814	62207
518	32875	62140
519	32954	62105
520	33020	62048
521	33079	61975
522	33127	61884
523	33183	61806
524	33240	61732
525	33304	61670
526	33364	61600
527	33431	61544
528	33497	61485
529	33561	61423
530	33621	61355
531	33683	61288
532	33745	61223
533	33802	61147
534	33867	61087
535	33934	61031
536	33999	60970
537	34059	60902
538	34121	60835
539	34183	60771
540	34244	60703
541	34305	60635
542	34363	60562
543	34422	60493
544	34487	60431
545	34547	60363
546	34607	60294
547	34667	60225
548	34731	60164
549	34790	60093
550	34850	60023
551	34926	59982
552	34985	59911
553	35043	59839
554	35100	59766
555	35158	59693
556	35216	59621
557	35269	59541
558	35326	59467
559	35381	59390
560	35442	59323
561	35494	59241
562	35549	59164
563	35606	59091
564	35660	59013
565	35715	58937
566	35775	58868
567	35836	58802
568	35894	58731
569	35951	58658
570	36004	58578
571	36062	58506
572	36121	58437
573	36183	58372
574	36241	58301
575	36296	58225
576	36357	58160
577	36418	58093
578	36474	58019
579	36533	57948
580	36590	57876
581	36643	57799
582	36700	57726
583	36758	57655
584	36811	57577
585	36872	57510
586	36932	57443
587	36992	57376
588	37053	57310
589	37112	57241
590	37175	57177
591	37239	57116
592	37299	57050
593	37362	56986
594	37417	56912
595	37473	56838
596	37531	56768
597	37592	56703
598	37656	56641
599	37711	56567
600	37770	56498
601	37827	56427
602	37887	56359
603	37947	56292
604	38006	56224
605	38073	56168
606	38134	56101
607	38191	56031
608	38246	55956
609	38298	55878
610	38358	55811
611	38419	55745
612	38484	55686
613	38540	55613
614	38597	55542
615	38655	55473
616	38725	55420
617	38786	55355
618	38839	55279
619	38907	55223
620	38965	55154
621	39025	55086
622	39081	55015
623	39141	54948
624	39196	54875
625	39256	54808
626	39312	54737
627	39371	54668
628	39430	54600
629	39488	54531
630	39543	54457
631	39606	54395
632	39663	54325
633	39729	54268
634	39789	54200
635	39844	54128
636	39900	54057
637	39967	54000
638	40030	53937
639	40088	53868
640	40144	53797
641	40204	53730
642	40258	53656
643	40316	53588
644	40373	53518
645	40435	53454
646	40492	53385
647	40552	53318
648	40609	53249
649	40665	53178
650	40720	53105
651	40771	53027
652	40834	52965
653	40888	52892
654	40944	52820
655	41005	52757
656	41074	52703
657	41133	52636
658	41192	52568
659	41252	52503
660	41316	52442
661	41373	52372
662	41429	52301
663	41492	52240
664	41548	52169
665	41604	52099
666	41659	52027
667	41719	51961
668	41778	51894
669	41835	51825
670	41889	51752
671	41944	51682
672	42004	51616
673	42059	51544
674	42109	51467
675	42164	51396
676	42220	51326
677	42280	51260
678	42338	51192
679	42389	51117
680	42453	51056
681	42506	50982
682	42564	50915
683	42629	50855
684	42690	50792
685	42750	50727
686	42808	50659
687	42867	50593
688	42924	50524
689	42982	50458
690	43048	50399
691	43109	50335
692	43167	50268
693	43229	50205
694	43289	50140
695	43350	50077
696	43411	50013
697	43467	49943
698	43530	49883
699	43592	49819
700	43649	49751
701	43705	49682
702	43764	49615
703	43819	49545
704	43869	49469
705	43928	49404
706	43982	49332
707	44041	49266
708	44095	49195
709	44155	49130
710	44222	49073
711	44279	49005
712	44336	48938
713	44387	48863
714	44443	48794
715	44494	48720
716	44549	48649
717	44615	48592
718	44675	48528
719	44729	48456
720	44789	48392
721	44843	48321
722	44899	48252
723	44951	48179
724	45013	48117
725	45066	48046
726	45132	47988
727	45184	47915
728	45238	47845
729	45301	47783
730	45358	47716
731	45411	47644
732	45464	47572
733	45530	47515
734	45588	47449
735	45648	47384
736	45710	47322
737	45767	47256
738	45833	47198
739	45894	47134
740	45947	47063
741	46000	46992
742	46055	46923
743	46109	46853
744	46165	46785
745	46219	46715
746	46280	46652
747	46338	46586
748	46404	46528
749	46467	46467
750	46524	46400
751	46575	46328
752	46632	46260
753	46691	46195
754	46745	46126
755	46806	46063
756	46863	45997
757	46917	45927
758	46978	45864
759	47036	45798
760	47092	45731
761	47149	45664
762	47209	45600
763	47269	45536
764	47327	45471
765	47384	45404
766	47442	45339
767	47495	45269
768	47550	45200
769	47609	45136
770	47667	45071
771	47725	45005
772	47779	44935
773	47833	44867
774	47895	44805
775	47952	44739
776	48010	44674
777	48065	44605
778	48123	44540
779	48177	44471
780	48234	44405
781	48292	44340
782	48353	44277
783	48413	44214
784	48473	44150
785	48524	44079
786	48583	44015
787	48648	43956
788	48707	43892
789	48763	43825
790	48823	43761
791	48884	43699
792	48946	43638
793	49006	43574
794	49062	43508
795	49119	43442
796	49176	43376
797	49238	43315
798	49299	43252
799	49362	43192
800	49423	43129
801	49478	43062
802	49539	42999
803	49592	42930
804	49654	42869
805	49721	42812
806	49786	42753
807	49843	42687
808	49903	42624
809	49958	42557
810	50017	42493
811	50074	42427
812	50132	42362
813	50197	42304
814	50255	42238
815	50315	42176
816	50372	42111
817	50431	42046
818	50488	41981
819	50546	41916
820	50615	41861
821	50668	41792
822	50731	41731
