laptop_ID,Company,Product,TypeName,Inches,Ram,OpSys,Weight,Price_in_euros,Touchscreen,ResolutionCategory,Memory_Storage,Memory_Type,Memory_Dual,Cpu_Brand,Cpu_Family,Cpu_Generation,Cpu_Frequency,Gpu_Marca,Gpu_Familia,Gpu_Modelo
755,HP,250 G6,Notebook,15.6,8,Windows 10,1.86,539.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
618,Dell,Inspiron 7559,Gaming,15.6,16,Windows 10,2.59,879.01,0,Full HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,960<U+039C>
909,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.04,900.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.7,Nvidia,GeForce,930MX
2,Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,0,HD,128.0,Flash,0,Intel,Intel Core,,1.8,Intel,HD Graphics,6000
286,Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.25,428.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.0,AMD,Radeon R5,M430
627,HP,ProBook 650,Notebook,14.0,8,Windows 10,2.31,1124.0,0,HD,256.0,SSD,0,Intel,Intel Core,7.0,2.6,Intel,HD Graphics,620
142,HP,Envy 13-AD007nv,Notebook,13.3,4,Windows 10,1.32,699.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.4,Nvidia,GeForce,940MX
732,MSI,GL72M 7REX,Gaming,17.3,8,Windows 10,2.7,1348.48,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX 1050,Ti
440,Lenovo,Thinkpad T570,Workstation,15.6,16,Windows 10,2.3,2445.0,0,4K,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce,940MX
275,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1958.9,0,2K/QHD,512.0,SSD,0,Intel,Intel Core,,2.9,Intel,Iris Graphics,550
595,Lenovo,Ideapad 320-15IKBR,Notebook,15.6,12,Windows 10,2.2,609.0,1,HD,1000.0,HDD,0,Intel,Intel Core,8.0,1.8,Intel,HD Graphics,620
575,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,344.0,0,Full HD,500.0,HDD,0,Intel,Intel Pentium,4.0,1.1,Intel,HD Graphics,505
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,1747.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
29,Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298.0,0,Full HD,512.0,SSD+SSD,1,Intel,Intel Core,8.0,1.9,Intel,UHD Graphics,620
792,Lenovo,IdeaPad 110-15IBR,Notebook,15.6,8,No OS,2.2,329.0,0,HD,1000.0,HDD,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,405
358,MSI,GP72MVR 7RFX,Gaming,17.3,8,Windows 10,2.7,1409.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1060
728,Lenovo,ThinkPad X1,Ultrabook,14.0,8,Windows 10,1.17,1686.64,0,2K/QHD,512.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
1256,MSI,GL62 6QF,Gaming,15.6,8,Windows 10,2.3,1169.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,960M
873,Toshiba,Portege X30-D-10X,Notebook,13.3,4,Windows 10,1.05,1285.0,0,Full HD,128.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
837,Acer,Chromebook 11,Netbook,11.6,4,Chrome OS,1.35,355.0,0,HD,32.0,Flash,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,400
231,Dell,Inspiron 5567,Notebook,15.6,16,Windows 10,2.3,859.01,1,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.7,AMD,Radeon R7,M445
470,Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,8,No OS,1.5,799.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.7,AMD,Radeon R7,M460
31,Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,0,Full HD,64.0,Flash,0,Intel,Intel Atom,8.0,1.44,Intel,HD,Graphics
1277,MSI,GE62 Apache,Gaming,15.6,8,Windows 10,2.4,1229.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,960M
1118,HP,ZBook 17,Workstation,17.3,8,Windows 7,3.0,2899.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.6,AMD,FirePro,W6150M
1024,Dell,Inspiron 7567,Gaming,15.6,8,Windows 10,2.65,949.0,0,Full HD,1000.0,Hybrid,0,Intel,Intel Core,7.0,2.5,Nvidia,GeForce GTX,1050
499,Asus,VivoBook Pro,Gaming,15.6,8,Windows 10,1.99,1350.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
235,Asus,Pro P2540UA-XO0198T,Notebook,15.6,4,Windows 10,2.37,398.99,0,HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.4,Intel,HD Graphics,620
438,Lenovo,Thinkpad 13,Notebook,13.3,8,Windows 10,1.4,1010.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
174,Huawei,MateBook X,Ultrabook,13.0,8,Windows 10,1.05,1349.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
364,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.36,557.37,1,HD,2000.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
519,Dell,Vostro 5568,Notebook,15.6,8,Windows 10,2.18,836.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
1113,HP,250 G5,Notebook,15.6,4,Windows 10,1.96,500.0,0,HD,1000.0,HDD,0,Intel,Intel Pentium,3.0,1.6,Intel,HD Graphics,405
1058,HP,EliteBook 840,Notebook,14.0,4,Windows 10,1.54,1000.0,0,Full HD,500.0,HDD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
700,HP,ZBook 17,Workstation,17.3,8,Windows 10,3.14,1907.99,0,Full HD,500.0,HDD,0,Intel,Intel Core,7.0,2.8,Nvidia,Quadro,M1200
860,HP,250 G6,Notebook,15.6,4,No OS,1.86,299.0,0,HD,128.0,SSD,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,400
342,Dell,Inspiron 7570,Ultrabook,15.6,8,Windows 10,1.9,1049.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,8.0,1.6,Nvidia,GeForce,940MX
833,Lenovo,ThinkPad X1,Ultrabook,14.0,8,Windows 10,1.13,1875.0,0,Full HD,256.0,Flash,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
1236,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,8,Windows 10,2.6,1272.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,960<U+039C>
417,Lenovo,ThinkPad P51,Workstation,15.6,8,Windows 10,2.67,1925.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,Quadro,M1200
213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Windows 10,2.2,597.0,0,HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
995,Toshiba,Portege Z30-C-1CV,Notebook,13.3,4,Windows 7,1.2,1195.0,0,Full HD,128.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
972,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.3,1268.0,0,2K/QHD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
